品番,仕入先コード,仕入先名,受入,収容数,箱種,箱_たて,箱_よこ,箱_高さ,箱体積(m3),パレット_たて,パレット_よこ,パレット_高さ,パレット体積,箱/面数,箱/段数332　5段　332.5　4段,パレタイズ発注（有/無）品番で6割程度　物流センター分はある,キュービック_たて,キュービック_よこ,キュービック_高さ,キュービック_体積,合計/箱数,1パレ最大箱数,完成キュービック数,綺麗なキュービック数,綺麗なキュービック総体積,綺麗なキュービックの総箱体積,綺麗なキュービックの総パレット体積,端数のキュービック数,箱の端数,キュービック縦横高さ重複識別ラベル,同箱形状_箱合計,混載するきれいなキュービック,混載しても出る端数の箱数,必要段数,混載条件の容積,混載条件のパレット含めた高さ,混載するきれいなキュービックの体積
AAJJ,2038,アイシン機工（株）,X8,2,TP344,0.503,0.335,0.38,0.06936,1.0,1.0,0.13,0.13,6,3,有,1.0,1.0,1.33,1.33,92.0,18,5.111111111111111,5,6.65,6.0,0.65,0.11111111111111072,2.0,1.0_1.0_1.33,23.0,1.0,5.0,1.0,0.54616,0.51,1.33
AAKK,2038,アイシン機工（株）,X8,2,TP344,0.503,0.335,0.38,0.06936,1.0,1.0,0.13,0.13,6,3,有,1.0,1.0,1.33,1.33,9.5,18,0.5277777777777778,0,0.0,0.0,0.0,0.5277777777777778,9.5,1.0_1.0_1.33,23.0,1.0,5.0,1.0,0.54616,0.51,1.33
AALL,2038,アイシン機工（株）,N7,1,TP332.5,0.335,0.335,0.241,0.028900000000000002,1.0,1.0,0.13,0.13,9,4,有,1.0,1.0,1.13,1.13,28.5,36,0.7916666666666666,0,0.0,0.0,0.0,0.7916666666666666,28.5,1.0_1.0_1.13,28.5,0.0,28.5,4.0,1.1703999999999999,1.0939999999999999,0.0
AAMM,2038,アイシン機工（株）,X8,30,鉄パレ,0.72,1.19,0.45,0.38556,1.0,1.0,0.13,0.13,1,3,無,0.72,1.19,1.35,1.15668,0.5,3,0.16666666666666666,0,0.0,0.0,0.0,0.16666666666666666,0.5,0.72_1.19_1.35,1.0,0.0,1.0,1.0,0.51556,0.5800000000000001,0.0
AANN,2038,アイシン機工（株）,X8,30,鉄パレ,0.72,1.19,0.45,0.38556,1.0,1.0,0.13,0.13,1,3,無,0.72,1.19,1.35,1.15668,12.5,3,4.166666666666667,4,4.62672,4.106719999999999,0.52,0.16666666666666696,0.5,0.72_1.19_1.35,1.0,0.0,1.0,1.0,0.51556,0.5800000000000001,0.0
AAOO,2038,アイシン機工（株）,L2,7,TP332.5,0.335,0.335,0.241,0.028900000000000002,1.0,1.0,0.13,0.13,9,4,無,1.0,1.0,1.13,1.13,5.75,36,0.1597222222222222,0,0.0,0.0,0.0,0.1597222222222222,5.75,1.0_1.0_1.13,18.0,0.0,18.0,2.0,0.6502,0.612,0.0
AAPP,2038,アイシン機工（株）,L4,2,TP332.5,0.335,0.335,0.241,0.028900000000000002,1.0,1.0,0.13,0.13,9,4,無,1.0,1.0,1.13,1.13,4.25,36,0.11805555555555555,0,0.0,0.0,0.0,0.11805555555555555,4.25,1.0_1.0_1.13,4.25,0.0,4.25,1.0,0.3901,0.371,0.0
AAQQ,2038,アイシン機工（株）,X7,15,TP341,0.503,0.335,0.103,0.01675,1.0,1.0,0.13,0.13,6,8,無,1.0,1.0,1.41,1.41,25.5,48,0.53125,0,0.0,0.0,0.0,0.53125,25.5,1.0_1.0_1.41,25.5,0.0,25.5,5.0,0.6325000000000001,0.645,0.0
AAXX,2038,アイシン機工（株）,X7,8,TP331,0.335,0.335,0.103,0.0112225,1.0,1.0,0.13,0.13,9,7,無,1.0,1.0,0.83,0.83,7.0,63,0.1111111111111111,0,0.0,0.0,0.0,0.1111111111111111,7.0,1.0_1.0_0.83,47.75,0.0,47.75,6.0,0.736015,0.748,0.0
AAYY,2038,アイシン機工（株）,X7,8,TP331,0.335,0.335,0.103,0.0112225,1.0,1.0,0.13,0.13,9,7,無,1.0,1.0,0.83,0.83,13.0,63,0.20634920634920634,0,0.0,0.0,0.0,0.20634920634920634,13.0,1.0_1.0_0.83,47.75,0.0,47.75,6.0,0.736015,0.748,0.0
AAZZ,2038,アイシン機工（株）,X7,8,TP331,0.335,0.335,0.103,0.0112225,1.0,1.0,0.13,0.13,9,7,無,1.0,1.0,0.83,0.83,2.25,63,0.03571428571428571,0,0.0,0.0,0.0,0.03571428571428571,2.25,1.0_1.0_0.83,47.75,0.0,47.75,6.0,0.736015,0.748,0.0
BBBB,2038,アイシン機工（株）,R7,8,TP332.5,0.335,0.335,0.241,0.027046225,1.0,1.0,0.13,0.13,9,3,有,1.0,1.0,0.88,0.88,13.5,27,0.5,0,0.0,0.0,0.0,0.5,13.5,1.0_1.0_0.88,20.25,0.0,20.25,3.0,0.860248075,0.853,0.0
BBDD,2038,アイシン機工（株）,R7,6,TP332.5,0.335,0.335,0.241,0.027046225,1.0,1.0,0.13,0.13,9,3,有,1.0,1.0,0.88,0.88,6.75,27,0.25,0,0.0,0.0,0.0,0.25,6.75,1.0_1.0_0.88,20.25,0.0,20.25,3.0,0.860248075,0.853,0.0
BBEE,2038,アイシン機工（株）,X7,8,TP331,0.335,0.335,0.103,0.01156,1.0,1.0,0.13,0.13,9,7,無,1.0,1.0,0.83,0.83,25.5,63,0.40476190476190477,0,0.0,0.0,0.0,0.40476190476190477,25.5,1.0_1.0_0.83,47.75,0.0,47.75,6.0,0.75424,0.748,0.0
BBGG,2038,アイシン機工（株）,X7,30,Bパレ,0.5,0.8,0.38,0.152,1.0,1.0,0.13,0.13,2,4,無,1.0,0.8,1.52,1.216,7.0,8,0.875,0,0.0,0.0,0.0,0.875,7.0,1.0_0.8_1.52,7.0,0.0,7.0,4.0,1.346,1.65,0.0
