,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,年＆週番号
38,35595ECB010    ,2023,50,7.0,45.0,40.0,サトープレス工業（株）,8.9,0.12,1.94,2.25,3.7,3.93,0.61,0.7260934552314613,1.0,"箱種類       TP-131 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 73, dtype: object",1.0,4.0,4.0,40.0,37.0,44.425,1.82,0.31,1.4500000000000002,0.2299999999999999,1.99,0.0,3.2622950819672134,2.7406940327889826,6.2921348314606735,0.7810639018091096,100.0,390.0,4.TA・カバー・メイン,45,0.0,0.0,0.5,0.8328643781654474,1.2162162162162162,0.8888888888888888,1.125,1.2162162162162162,1.0810810810810811,2.225,2023-50
39,3559850A010    ,2023,50,3.0,15.0,17.0,アイコー（株）,3.55,0.49,4.14,4.52,4.92,5.22,0.94,1.2302336380786532,1.0,"箱種類    AW-131 ｾﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 94, dtype: object",1.0,6.0,5.76,100.0,13.0,14.16,3.65,0.3799999999999999,0.4000000000000003,0.2999999999999998,1.08,0.32,1.148936170212766,0.8778820270974836,7.500625052087675,0.3627660891623862,100.0,390.0,4.TA・カバー・メイン,18,0.0,0.0,0.8,0.9180790960451978,1.1538461538461537,1.1333333333333333,1.0588235294117647,1.3846153846153846,1.3076923076923077,0.5916666666666667,2023-50
40,35771ECB010    ,2023,50,17.0,401.0,408.0,アイシン機工（株）,89.0,0.39,1.2,1.42,1.64,1.795,0.79,0.8248280365694385,3.0,"箱種類        TP-341 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 82, dtype: object",1.0,4.0,4.0,4.0,406.0,444.25,0.8099999999999999,0.2199999999999999,0.2199999999999999,0.155,0.595,0.07,0.7531645569620252,0.7213624823844232,1.5280898876404494,0.6022369939895713,100.0,390.0,2.MGケース,456,0.0,0.0,0.1875,0.9138998311761396,0.9876847290640394,1.0174563591022443,1.1176470588235294,1.1231527093596059,1.0049261083743843,22.25,2023-50
41,35771ECE010    ,2023,50,35.0,296.0,301.0,アイシン機工（株）,65.16666666666667,0.39,1.2,1.44,2.07,2.3,0.79,0.8195602906761917,2.0,"箱種類        TP-341 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 83, dtype: object",1.0,4.0,4.0,6.0,273.0,326.8333333333333,0.8099999999999999,0.24,0.6299999999999999,0.2299999999999999,1.1,0.07,1.3924050632911391,1.342183134681192,4.296675191815856,1.467709847115792,100.0,390.0,2.MGケース,335,0.0,0.0,0.037151702786377694,0.8352881183069862,1.0842490842490842,1.0168918918918919,1.1129568106312293,1.2271062271062272,1.1025641025641026,16.291666666666668,2023-50
42,35847ECB010    ,2023,50,5.0,27.0,25.0,（株）メタルテック,4.45,0.09,4.01,4.13,4.7,5.33,0.55,0.7821869104629227,1.0,"箱種類        TP-332 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 350, dtype: object",1.0,4.0,4.0,80.0,17.0,22.2125,3.92,0.1200000000000001,0.5700000000000003,0.6299999999999999,1.3200000000000005,0.0,2.4000000000000004,1.687576182039128,8.988764044943819,0.4843194767172935,100.0,390.0,2.MGケース,22,0.0,0.0,0.375,0.7653348339898706,1.588235294117647,0.9259259259259259,0.88,1.2941176470588236,1.4705882352941178,1.1125,2023-50
43,35847ECB020    ,2023,50,4.0,26.0,24.0,（株）メタルテック,5.085714285714285,0.09,4.01,4.13,4.41,4.76,0.5,0.7031635466550573,1.0,"箱種類        TP-332 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 351, dtype: object",1.0,4.0,4.0,70.0,21.0,25.38571428571429,3.92,0.1200000000000001,0.2800000000000002,0.3499999999999996,0.75,0.0,1.5,1.0666081931689195,6.292134831460674,0.5116496801162914,100.0,390.0,4.TA・カバー・メイン,26,0.0,0.0,0.5294117647058822,0.8272369161508158,1.2380952380952381,0.9230769230769231,1.0833333333333333,1.2380952380952381,1.1428571428571428,1.2714285714285714,2023-50
44,35847ECE010    ,2023,50,15.0,52.0,45.0,（株）メタルテック,9.775,0.1,4.015,4.13,5.105,5.31,0.5,0.5985343022539722,1.0,"箱種類        TP-332 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 352, dtype: object",1.0,4.0,4.0,40.0,38.0,49.025000000000006,3.915,0.1150000000000002,0.9750000000000004,0.2049999999999991,1.295,0.0,2.59,2.163618685049902,12.27621483375959,0.9862766291536814,100.0,390.0,2.MGケース,51,0.0,0.0,0.41666666666666674,0.7751147373788883,1.368421052631579,0.8653846153846154,1.1333333333333333,1.3421052631578947,1.1842105263157894,2.44375,2023-50
45,35847ECE020    ,2023,50,11.0,34.0,31.0,（株）メタルテック,6.516666666666667,0.09,4.01,4.13,4.69,4.92,0.53,0.6778014533809582,1.0,"箱種類        TP-332 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 353, dtype: object",1.0,4.0,4.0,60.0,24.0,32.68333333333334,3.92,0.1200000000000001,0.5599999999999996,0.2300000000000004,0.91,0.0,1.716981132075472,1.342576053003142,13.503836317135548,0.7115671434988226,100.0,390.0,4.TA・カバー・メイン,34,0.0,0.0,0.3600000000000001,0.7343192248852626,1.4166666666666667,0.9117647058823529,1.096774193548387,1.4166666666666667,1.2916666666666667,1.6291666666666667,2023-50
46,35882ECB010    ,2023,50,6.0,39.0,35.0,（株）メタルテック,7.12,0.09,4.01,4.13,4.7,4.87,0.54,0.6851168190393266,1.0,"箱種類        TP-332 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 354, dtype: object",1.0,4.0,4.0,50.0,29.0,35.54,3.92,0.1200000000000001,0.5700000000000003,0.1699999999999999,0.8600000000000003,0.0,1.592592592592593,1.2552603820263757,6.741573033707864,0.6758603930621793,100.0,390.0,2.MGケース,36,0.0,0.0,0.7142857142857142,0.8159819921215532,1.3448275862068966,0.8974358974358975,1.0285714285714285,1.2413793103448276,1.206896551724138,1.78,2023-50
47,36108ECB010    ,2023,50,3.0,10.0,10.0,（株）オーハシテクニカ,2.373333333333333,0.74,4.02,4.28,5.52,6.06,0.64,1.07535045711798,1.0,"箱種類    TP-331-5 ﾊﾝﾖｳ
箱種類        ＴＰ３４１フタナシ
Name: 44, dtype: object",1.0,6.0,4.92,150.0,7.0,9.44,3.28,0.2600000000000007,1.239999999999999,0.54,2.04,0.0,3.1875,1.8970559657986787,12.81126632250228,0.2251324587410858,100.0,390.0,2.MGケース,12,0.0,0.0,1.4,0.7415254237288136,1.4285714285714286,1.0,1.2,1.7142857142857142,1.4285714285714286,0.3955555555555555,2023-50
48,39171ECB010    ,2023,50,10.0,101.0,103.0,（株）アイシン福井,22.25,0.26,1.005,0.99,1.51,1.69,0.62,0.7593121462777536,3.0,"箱種類          Aﾊﾟﾚ ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 86, dtype: object",1.0,4.0,4.0,16.0,94.0,111.0625,0.7449999999999999,-0.0149999999999999,0.52,0.1799999999999999,0.685,,1.1048387096774197,0.9021322829589368,3.595505617977528,0.9736618986407024,100.0,390.0,,113,0.0,0.0,0.17708333333333326,0.8463702870005627,1.074468085106383,1.0198019801980198,1.0970873786407767,1.202127659574468,1.0957446808510638,5.5625,2023-50
49,39171ECE010    ,2023,50,19.0,92.0,91.0,（株）アイシン福井,19.55,0.26,1.05,1.0,2.02,2.22,0.63,0.7778014533809583,3.0,"箱種類          Aﾊﾟﾚ ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 87, dtype: object",1.0,4.0,4.0,20.0,77.0,98.05,0.79,-0.05,1.02,0.2000000000000001,1.1700000000000002,,1.8571428571428568,1.5042399251302858,7.774936061381074,1.3929684064865189,100.0,390.0,,100,0.0,0.0,0.04166666666666674,0.7853136155022947,1.1948051948051948,0.9891304347826086,1.098901098901099,1.2987012987012987,1.1818181818181819,4.8875,2023-50
50,41310ECB010    ,2023,50,60.0,761.0,817.0,（株）オンド,178.0,0.17,1.14,1.65,1.78,1.95,0.69,0.7016093455231461,2.0,"箱種類    ｻﾝﾎﾞｯｸｽ#24-A
箱種類        Aﾊﾟﾚﾌﾀﾅｼ
Name: 48, dtype: object",1.0,24.0,19.68,2.0,749.0,888.5,0.97,0.51,0.1300000000000001,0.1699999999999999,0.81,0.05,1.173913043478261,1.1544886127422287,3.9119379305848345,2.9660968314221883,100.0,390.0,1.デフ・大物ギヤ・Brg,906,0.0,0.0,0.16903225806451605,0.842993809791784,1.0160213618157543,1.0735873850197108,1.108935128518972,1.2096128170894527,1.0907877169559412,7.416666666666667,2023-50
51,41310ECE010    ,2023,50,99.0,910.0,906.0,（株）オンド,195.5,0.17,1.14,1.94,2.22,2.35,0.7,0.7147801453380958,3.0,"箱種類     ｻﾝﾎﾞｯｸｽ#24-A
箱種類    サンボックス＃９Ｆフタナシ
Name: 49, dtype: object",1.0,1.0,1.9,2.0,810.0,980.5,0.97,0.8,0.2800000000000002,0.1299999999999999,1.2100000000000002,0.05,1.7285714285714289,1.6928282184274468,1.74618573066408,0.4782119262363787,100.0,390.0,1.デフ・大物ギヤ・Brg,1005,0.0,0.0,0.0172064777327936,0.8261091279959204,1.123456790123457,0.9956043956043956,1.109271523178808,1.2407407407407407,1.1185185185185185,195.5,2023-50
52,5040056001E    ,2023,50,6.0,27.0,29.0,サトープレス工業（株）,5.925000000000001,0.12,1.94,2.255,3.535,3.77,0.58,1.102420548541576,3.0,"箱種類       AW-131 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 74, dtype: object",1.0,4.0,4.0,300.0,22.0,29.616666666666667,1.82,0.3149999999999999,1.2800000000000002,0.2349999999999998,1.83,0.0,3.155172413793104,1.659983571987079,8.101265822784809,0.607363319227726,100.0,390.0,3.ギヤサブ・共通部品,32,0.0,0.0,0.8823529411764706,0.7428249859313449,1.2272727272727273,1.0740740740740742,1.103448275862069,1.4545454545454546,1.3181818181818181,1.4812500000000002,2023-50
53,82125ECB010    ,2023,50,4.0,18.0,17.0,矢崎総業（株）,3.555,0.135,2.975,3.22,4.37,4.62,0.58,0.8702336380786533,1.0,"箱種類       TP-332 ﾊﾝﾖｳ
箱種類    サンボックス＃２０Ｂフタナシ
Name: 345, dtype: object",1.0,2.0,5.82,100.0,14.0,14.16,2.84,0.2450000000000001,1.15,0.25,1.645,0.0,2.836206896551724,1.8902969593681944,3.299635802698277,0.7611963704227562,100.0,390.0,2.MGケース,19,0.0,0.0,1.1111111111111112,0.9887005649717514,1.2857142857142858,0.9444444444444444,1.1176470588235294,1.3571428571428572,1.2142857142857142,1.7775,2023-50
54,82125ECE010    ,2023,50,5.0,21.0,18.0,矢崎総業（株）,3.91,0.135,2.975,3.225,3.925,4.195,0.62,0.8663357556349304,1.0,"箱種類      TP-332 ﾊﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 346, dtype: object",1.0,1.0,1.9,100.0,14.0,19.61,2.84,0.25,0.7000000000000002,0.27,1.2200000000000002,0.0,1.9677419354838712,1.4082299986635922,4.4095599259193925,0.5871949279863862,100.0,390.0,4.TA・カバー・メイン,20,0.0,0.0,0.4285714285714286,0.7139214686384497,1.5,0.8571428571428571,1.1111111111111112,1.4285714285714286,1.2857142857142858,3.91,2023-50
55,82821CWA030    ,2023,50,7.0,19.0,19.0,石黒ゴム工業（株）,3.985,0.13,3.6,4.01,5.57,5.95,0.83,1.1113104377893688,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類       Aﾊﾟﾚﾌﾀﾅｼ
Name: 35, dtype: object",1.0,24.0,19.68,200.0,11.0,15.695,3.47,0.4099999999999997,1.5600000000000005,0.3799999999999999,2.35,0.29,2.8313253012048194,2.1146206497211044,20.385924974942306,0.3373296188313153,100.0,390.0,8.ファイナル後半,22,0.0,0.0,0.8333333333333333,0.7008601465434852,1.7272727272727273,1.0,1.1578947368421053,2.0,1.7272727272727273,0.16604166666666667,2023-50
56,82821ECB010    ,2023,50,3.0,9.0,9.0,石黒ゴム工業（株）,1.9925,0.11,3.6,4.01,5.8,6.47,0.83,1.3925879043600562,1.0,"箱種類    TP-332 ｾﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 36, dtype: object",1.0,6.0,4.92,400.0,5.0,5.8525,3.49,0.4099999999999997,1.79,0.6699999999999999,2.87,0.29,3.4578313253012047,2.060911193479644,15.259927430567329,0.1911846569177727,100.0,390.0,8.ファイナル後半,10,0.0,0.0,0.6666666666666667,0.8543357539513029,1.8,1.0,1.1111111111111112,2.0,1.8,0.33208333333333334,2023-50
57,82821ECB020    ,2023,50,8.0,22.0,19.0,石黒ゴム工業（株）,3.985,0.11,3.76,4.095000000000001,6.27,6.66,0.87,1.151293952180028,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 37, dtype: object",1.0,6.0,4.92,200.0,10.0,11.705,3.65,0.3350000000000008,2.174999999999999,0.3900000000000005,2.9000000000000004,0.29,3.333333333333334,2.518904919554834,20.346569907423103,0.3771808139554808,100.0,390.0,8.ファイナル後半,21,0.0,0.0,0.9090909090909092,0.8543357539513029,2.2,0.8636363636363636,1.105263157894737,2.1,1.9,0.6641666666666667,2023-50
58,82821ECB040    ,2023,50,3.0,15.0,16.0,石黒ゴム工業（株）,3.555,0.1,2.765,3.2750000000000004,4.055,4.405,0.83,1.178280365694384,1.0,"箱種類    TP-342 ｾﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 38, dtype: object",1.0,6.0,4.92,100.0,12.0,14.16,2.665,0.5100000000000002,0.7799999999999994,0.3500000000000005,1.64,0.29,1.975903614457832,1.3918588883839336,8.552856654122477,0.3217811520662444,100.0,390.0,8.ファイナル後半,18,0.0,0.0,0.3846153846153846,0.847457627118644,1.25,1.0666666666666667,1.125,1.5,1.3333333333333333,0.5925,2023-50
59,82821ECB050    ,2023,50,11.0,39.0,39.0,石黒ゴム工業（株）,7.97,0.12,3.6,3.995,5.195,5.585,0.83,0.9706552188946844,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 39, dtype: object",1.0,6.0,4.92,100.0,26.0,38.87,3.48,0.395,1.2000000000000002,0.3899999999999997,1.985,0.29,2.391566265060241,2.0450103820184284,13.988266811353386,0.699963722707749,100.0,390.0,8.ファイナル後半,43,0.0,0.0,0.48275862068965525,0.6688963210702341,1.5,1.0,1.1025641025641026,1.6538461538461537,1.5,1.3283333333333334,2023-50
60,82821ECE010    ,2023,50,22.0,45.0,48.0,石黒ゴム工業（株）,8.82,0.33,3.6,4.0,6.71,7.02,1.07,1.1879593040401062,1.0,"箱種類        TP-332 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 40, dtype: object",1.0,4.0,4.0,50.0,19.0,25.46,3.27,0.3999999999999999,2.71,0.3099999999999996,3.4199999999999995,0.29,3.19626168224299,2.8788864975163646,19.954648526077097,0.9734233942276456,100.0,390.0,8.ファイナル後半,49,0.0,0.0,0.6333333333333333,0.7462686567164178,2.3684210526315788,1.0666666666666667,1.0208333333333333,2.5789473684210527,2.526315789473684,2.205,2023-50
61,82821XAE010    ,2023,50,14.0,40.0,39.0,石黒ゴム工業（株）,7.97,0.13,3.6,3.99,5.61,5.84,0.87,1.010646976090014,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 41, dtype: object",1.0,6.0,4.92,100.0,25.0,31.4,3.47,0.3900000000000001,1.62,0.2299999999999995,2.24,0.29,2.574712643678161,2.2164020206799613,17.803248668995217,0.7168428682650076,100.0,390.0,8.ファイナル後半,44,0.0,0.0,0.6296296296296295,0.7961783439490446,1.6,0.975,1.1282051282051282,1.76,1.56,1.3283333333333334,2023-50
62,82821XAE020    ,2023,50,2.0,4.0,4.0,石黒ゴム工業（株）,0.89,0.33,3.6,4.0,6.06,7.39,0.81,2.203121462777536,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 42, dtype: object",1.0,6.0,4.92,400.0,1.0,0.89,3.27,0.3999999999999999,2.06,1.33,3.79,0.29,4.679012345679012,1.7202864499453614,22.77558457333738,0.0870760889203056,100.0,390.0,8.ファイナル後半,4,0.0,0.0,3.0,1.1235955056179776,4.0,1.0,1.0,4.0,4.0,0.14833333333333334,2023-50
63,82824ECB010    ,2023,50,8.0,54.0,49.0,矢崎総業（株）,11.125,0.13,1.98,2.24,3.145,3.395,0.57,0.662874764185169,1.0,"箱種類        TP-331 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 347, dtype: object",1.0,4.0,4.0,32.0,46.0,55.53125,1.85,0.2600000000000002,0.9049999999999998,0.25,1.415,0.0,2.4824561403508776,2.1346415287650484,5.752808988764045,0.8800580937224789,100.0,390.0,2.MGケース,56,0.0,0.0,0.36585365853658547,0.8283624085537422,1.173913043478261,0.9074074074074074,1.1428571428571428,1.2173913043478262,1.065217391304348,2.78125,2023-50
64,82824ECB020    ,2023,50,13.0,96.0,88.0,矢崎総業（株）,18.675,0.13,1.98,2.25,3.175,3.545,0.58,0.6332978014656895,1.0,"箱種類        TP-331 ｾﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 348, dtype: object",1.0,4.0,4.0,40.0,80.0,93.45,1.85,0.27,0.9249999999999998,0.3700000000000001,1.565,0.0,2.6982758620689657,2.4711912726966694,5.568942436412316,1.1636814201922272,100.0,390.0,3.ギヤサブ・共通部品,97,0.0,0.0,0.31081081081081074,0.8560727661851257,1.2,0.9166666666666666,1.1022727272727273,1.2125,1.1,4.66875,2023-50
65,82824ECE010    ,2023,50,10.0,44.0,40.0,住友電装（株）,8.688888888888888,1.45,5.41,5.39,6.24,6.46,0.36,0.4708510900357187,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 98, dtype: object",1.0,6.0,5.76,45.0,35.0,43.577777777777776,3.96,-0.0200000000000004,0.8500000000000005,0.2199999999999997,1.0499999999999998,0.0,2.916666666666666,2.2300043946385406,10.215045627203802,0.8266076252500384,100.0,390.0,2.MGケース,45,0.0,0.0,0.7307692307692308,0.8031616522182561,1.2571428571428571,0.9090909090909091,1.125,1.2857142857142858,1.1428571428571428,1.448148148148148,2023-50
66,9010506A003    ,2023,50,1.0,3.0,0.0,（株）青山製作所,0.713,0.325,2.26,2.55,3.11,4.265000000000001,1.02,2.4711681903932665,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタアリ
Name: 5, dtype: object",1.0,1.0,1.79,2000.0,2.0,1.426,1.935,0.29,0.56,1.1550000000000007,2.005000000000001,0.08,1.9656862745098047,0.8113571580414853,5.0269696923997245,0.1731415940207981,100.0,390.0,2.MGケース,3,0.0,0.0,0.5,1.402524544179523,1.5,0.0,inf,1.5,0.0,0.713,2023-50
67,9010506A089    ,2023,50,4.0,5.0,5.0,（株）青山製作所,0.996,0.29,3.21,3.55,5.02,5.64,1.0,3.9980013324450367,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３２フタナシ
Name: 6, dtype: object",1.0,1.0,1.9,1500.0,1.0,0.996,2.92,0.3399999999999998,1.4699999999999998,0.6200000000000001,2.43,0.08,2.43,0.607803699383436,13.848497438027977,0.2685591594127319,100.0,390.0,2.MGケース,3,0.0,0.0,0.0,1.0040160642570282,5.0,1.0,0.6,3.0,5.0,0.996,2023-50
68,9010508A014    ,2023,50,19.0,103.0,111.0,（株）青山製作所,56.21,0.31,1.235,1.56,1.88,2.26,1.08,1.133008684589492,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタアリ
Name: 7, dtype: object",1.0,1.0,1.79,500.0,244.0,281.27,0.9249999999999998,0.3250000000000002,0.3199999999999998,0.3799999999999999,1.025,0.08,0.949074074074074,0.9046709120075056,1.2115345743273271,0.3154467574319391,100.0,390.0,4.TA・カバー・メイン,284,0.0,0.0,0.0923076923076922,0.8674938671027839,0.42213114754098363,1.0776699029126213,2.5585585585585586,1.1639344262295082,0.45491803278688525,56.21,2023-50
69,9010508A042    ,2023,50,2.0,22.0,21.0,（株）青山製作所,5.933333333333334,0.32,1.26,1.57,1.87,2.44,1.07,1.244140182847192,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３２フタナシ
Name: 8, dtype: object",1.0,1.0,1.9,300.0,21.0,29.616666666666667,0.94,0.31,0.3,0.5699999999999998,1.18,0.08,1.102803738317757,0.9484461769409228,1.1623401782254938,0.2705503198961405,100.0,390.0,4.TA・カバー・メイン,27,0.0,0.0,0.125,0.7090602138435566,1.0476190476190477,0.9545454545454546,1.2857142857142858,1.2857142857142858,1.0,5.933333333333334,2023-50
70,9010512A018    ,2023,50,26.0,229.0,247.0,（株）青山製作所,51.94,0.31,1.23,1.57,2.0,2.21,1.04,1.0977800889813372,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタアリ
Name: 9, dtype: object",1.0,1.0,1.79,200.0,225.0,259.82,0.92,0.3400000000000001,0.4299999999999999,0.2099999999999999,0.98,0.08,0.9423076923076924,0.892710671141222,1.79418490869669,0.4615560642323004,100.0,390.0,3.ギヤサブ・共通部品,268,0.0,0.0,0.15021459227467804,0.8659841428681395,1.0177777777777777,1.0786026200873362,1.0850202429149798,1.191111111111111,1.0977777777777777,51.94,2023-50
221,9011906908     ,2023,50,,,,（株）青山製作所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,,,,,,,,2023-50
71,9011906A065    ,2023,50,2.0,8.0,9.0,（株）青山製作所,2.241,0.32,1.26,1.57,2.86,3.44,1.07,1.514148345547413,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタアリ
Name: 11, dtype: object",1.0,1.0,1.79,1000.0,7.0,8.97,0.94,0.31,1.2899999999999998,0.5800000000000001,2.18,0.08,2.037383177570093,1.4397532490199036,3.198776787756361,0.360241786435173,100.0,390.0,2.MGケース,11,0.0,0.0,0.22222222222222232,0.7803790412486065,1.1428571428571428,1.125,1.2222222222222223,1.5714285714285714,1.2857142857142858,2.241,2023-50
72,9014908A008    ,2023,50,1.0,12.0,6.0,（株）青山製作所,2.80125,0.315,1.25,1.535,1.795,2.575,1.02,1.3753186764379302,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      TP131ﾌﾀﾅｼ
Name: 13, dtype: object",1.0,1.0,0.73,800.0,12.0,11.2125,0.935,0.2850000000000001,0.2599999999999998,0.7800000000000002,1.3250000000000002,0.08,1.2990196078431373,0.963413078510462,2.063488378691387,0.1998081490629596,100.0,390.0,7.ファイナル前半,15,0.0,0.0,0.15384615384615374,1.0702341137123745,1.0,0.5,2.5,1.25,0.5,2.80125,2023-50
73,9015905A007    ,2023,50,3.0,10.0,10.0,（株）青山製作所,2.241,0.345,3.185,3.355,4.74,5.355,1.03,2.362533813045506,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      TP131ﾌﾀﾅｼ
Name: 14, dtype: object",1.0,1.0,0.73,2000.0,6.0,6.726000000000001,2.84,0.1699999999999999,1.3850000000000002,0.6150000000000002,2.1700000000000004,0.08,2.1067961165048548,0.9185053725020286,7.738081420092701,0.2972907472026997,100.0,390.0,7.ファイナル前半,11,0.0,0.0,0.5714285714285714,0.8920606601248884,1.6666666666666667,1.0,1.1,1.8333333333333333,1.6666666666666667,2.241,2023-50
74,9015906A021    ,2023,50,4.0,23.0,24.0,（株）青山製作所,5.276666666666666,0.31,1.245,1.54,2.535,2.85,1.02,1.587094350322535,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類     テンバコ１０フタナシ
Name: 15, dtype: object",1.0,8.0,9.0,1200.0,22.0,26.394166666666663,0.935,0.2949999999999999,0.995,0.3149999999999995,1.6049999999999995,0.08,1.5735294117647054,1.0112820322710026,6.064434617814276,0.5724220274812446,100.0,390.0,7.ファイナル前半,27,0.0,0.0,0.17391304347826098,0.8335175070249109,1.0454545454545454,1.0434782608695652,1.125,1.2272727272727273,1.0909090909090908,0.6595833333333333,2023-50
75,9015906A022    ,2023,50,2.0,30.0,23.0,（株）青山製作所,7.47,0.32,1.26,1.57,1.785,2.71,1.01,1.4097335109926716,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類     テンバコ１０フタナシ
Name: 16, dtype: object",1.0,8.0,9.0,1500.0,30.0,37.38,0.94,0.31,0.215,0.9249999999999998,1.45,0.08,1.4356435643564356,1.028563192045406,2.14190093708166,0.579852849725448,100.0,390.0,8.ファイナル後半,36,0.0,0.0,0.05882352941176472,0.8025682182985553,1.0,0.7666666666666667,1.565217391304348,1.2,0.7666666666666667,0.93375,2023-50
76,9015906A023    ,2023,50,3.0,8.0,8.0,（株）青山製作所,1.7238461538461538,0.305,1.215,1.38,2.0,2.92,1.02,2.752293956959158,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類     テンバコ１０フタナシ
Name: 17, dtype: object",1.0,8.0,9.0,1300.0,4.0,5.173846153846154,0.9099999999999998,0.165,0.6200000000000001,0.92,1.705,0.08,1.6715686274509804,0.619483248033488,13.922356091030789,0.2109107036112434,100.0,390.0,7.ファイナル前半,8,0.0,0.0,0.33333333333333326,0.7731192387749034,2.0,1.0,1.0,2.0,2.0,0.21548076923076923,2023-50
77,9020150A002    ,2023,50,4.0,14.0,17.0,（株）ムロコーポレーション,3.55,0.1,0.86,0.99,1.78,2.22,0.73,1.0202336380786532,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 136, dtype: object",1.0,6.0,4.92,100.0,11.0,14.21,0.76,0.13,0.79,0.4400000000000001,1.3600000000000003,0.0,1.863013698630137,1.333027994020281,11.419870574800152,0.3281637360489878,100.0,390.0,3.ギヤサブ・共通部品,19,0.0,0.0,1.7142857142857144,0.7741027445460943,1.2727272727272727,1.2142857142857142,1.1176470588235294,1.7272727272727273,1.5454545454545454,0.5916666666666667,2023-50
