,"=""ïiî‘""","=""â¡çHê}ïÑçÜ""","=""ê›ïœïÑçÜ""","=""ïiñº""","=""ÉXÉeÅ[É^ÉX""","=""î≠íçãÊï™""","=""êÆîıé∫""","=""êÆîıé∫ñº""","=""éËîzãÊï™""","=""çHíˆì‡äOêª""","=""çHíˆÉRÅ[Éh""","=""édì¸êÊñº/çHèÍñº""","=""î≠ëóèÍèä""","=""î≠ëóèÍèäñº""","=""éÛãããÊï™""","=""å„çHíˆì‡äOêª""","=""å„çHíˆÉRÅ[Éh""","=""å„çHíˆédì¸êÊñº/çHèÍñº""","=""éÛì¸èÍèä""","=""éÛì¸èÍèäñº""","=""î†éÌóﬁ""",é˚óeêî,äÓèÄç›å…ì˙êî,äÓèÄç›å…ñáêî,ÉTÉCÉNÉãä‘äu,"=""ÉTÉCÉNÉãâÒêî""",ÉTÉCÉNÉãèÓïÒ,"=""çXêV""","=""çXêVé“""","=""ç≈èIçXêVì˙éû""","=""É}ÉCÉiÉXïKóvêîóLñ≥""",ìñåéïKóvêî,"=""ìñåéâ“ì≠ì˙êî""",óÇåéïKóvêî,"=""óÇåéâ“ì≠ì˙êî""",óÇÅXåéïKóvêî,"=""óÇÅXåéâ“ì≠ì˙êî""",óÇÅXÅXåéïKóvêî,"=""óÇÅXÅXåéâ“ì≠ì˙êî""",1(ã‡),2(ìy),3(ì˙),4(åé),5(âŒ),6(êÖ),7(ñÿ),8(ã‡),9(ìy),10(ì˙),11(åé),12(âŒ),13(êÖ),14(ñÿ),15(ã‡),16(ìy),17(ì˙),18(åé),19(âŒ),20(êÖ),21(ñÿ),22(ã‡),23(ìy),24(ì˙),25(åé),26(âŒ),27(êÖ),28(ñÿ),29(ã‡),30(ìy),31(ì˙),ìñåéåvéZêî,óÇåéåvéZêî,óÇÅXåéåvéZêî,óÇÅXÅXåéåvéZêî,1(ã‡).1,2(ìy).1,3(ì˙).1,4(åé).1,5(âŒ).1,6(êÖ).1,7(ñÿ).1,8(ã‡).1,9(ìy).1,10(ì˙).1,11(åé).1,12(âŒ).1,13(êÖ).1,14(ñÿ).1,15(ã‡).1,16(ìy).1,17(ì˙).1,18(åé).1,19(âŒ).1,20(êÖ).1,21(ñÿ).1,22(ã‡).1,23(ìy).1,24(ì˙).1,25(åé).1,26(âŒ).1,27(êÖ).1,28(ñÿ).1,29(ã‡).1,30(ìy).1,31(ì˙).1,î[ì¸âÒêîÅiä‘äuÅj,î[ì¸âÒêîÅiâÒêîÅj,î[ì¸âÒêîÅiíxÇÍÅj,î†éÌóﬁ,î†èdó 
50,"=""1040 043 104R""","=""""","="" A""","PIN, STRAIGHT","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1014""","=""ÅiäîÅjÉMÉtâ¡ì°êªçÏèä""","=""01""","=""ñ{é–çHèÍÅiÇ`Çvî≠çsãíì_Åj""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""AW-131 æ›÷≥""","    1,000",  0.75, 3.0,1,"=""02""",  3.80,"=""""","=""""","=""""","=""""","     30,020","=""20.0""","     27,170","=""18.0""","     32,248","=""21.0""","     32,768","=""21.0""","      1,496",          0,          0,"      1,494","      1,492","      1,492","      1,494","      1,492",          0,          0,"      1,494","      1,494","      1,494","      1,498","      1,496",          0,          0,"      1,494","      1,492","      1,494","      1,618","      1,386",          0,          0,"      1,494","      1,618","      1,494","      1,494",          0,          0,          0,"     30,020","     27,170","     32,248","     32,768","      1,496",          0,          0,"      1,494","      1,492","      1,492","      1,494","      1,492",          0,          0,"      1,494","      1,494","      1,494","      1,498","      1,496",          0,          0,"      1,494","      1,492","      1,494","      1,618","      1,386",          0,          0,"      1,494","      1,618","      1,494","      1,494",          0,          0,          0,1,01, 1.90,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇeÉtÉ^ÉiÉV,   7.144
51,"=""35556-ECB010""","=""""","=""""","SHAFT, PARKING LOCK PAWL","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1014""","=""ÅiäîÅjÉMÉtâ¡ì°êªçÏèä""","=""01""","=""ñ{é–çHèÍÅiÇ`Çvî≠çsãíì_Åj""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.79, 1.0,1,"=""02""",  3.80,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,01, 1.90,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇeÉtÉ^ÉiÉV,   9.880
52,"=""90250-06A007""","=""""","="" A""","PIN, STRAIGHT","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1014""","=""ÅiäîÅjÉMÉtâ¡ì°êªçÏèä""","=""01""","=""ñ{é–çHèÍÅiÇ`Çvî≠çsãíì_Åj""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""AW-131 æ›÷≥""",      200,  0.76, 1.0,1,"=""02""",  3.80,"=""""","=""""","=""""","=""""","     13,782","=""20.0""","     12,326","=""18.0""","     14,776","=""21.0""","     11,892","=""21.0""",        674,          0,          0,        660,        652,        648,        648,        664,          0,          0,        712,        714,        710,        696,        722,          0,          0,        698,        688,        660,        732,        648,          0,          0,        690,        754,        712,        700,          0,          0,          0,"     13,782","     12,326","     14,776","     11,892",        674,          0,          0,        660,        652,        648,        648,        664,          0,          0,        712,        714,        710,        696,        722,          0,          0,        698,        688,        660,        732,        648,          0,          0,        690,        754,        712,        700,          0,          0,          0,1,01, 1.90,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇeÉtÉ^ÉiÉV,   9.510
53,"=""33490-ECB010""","=""""","="" A""","COOLER ASSY, OIL","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1042""","=""É}ÉåÉäÅiäîÅj""","=""04""","=""‡F‡Vëqå…""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-332  ›÷≥""",        4,  0.82, 3.0,1,"=""02""",  3.92,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,01, 1.90,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇeÉtÉ^ÉiÉV,   9.790
54,"=""33490-ECE010""","=""""","="" A""","COOLER ASSY, OIL","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1042""","=""É}ÉåÉäÅiäîÅj""","=""04""","=""‡F‡Vëqå…""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-332  ›÷≥""",        4,  0.81, 3.0,1,"=""02""",  3.92,"=""""","=""""","=""""","=""""","      8,119","=""20.0""","      7,422","=""18.0""","      8,736","=""21.0""","     10,438","=""21.0""",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,"      8,119","      7,422","      8,736","     10,438",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,1,01, 1.74,ÇsÇoÇPÇRÇPÉtÉ^ÉiÉV,   4.630
55,"=""90366-28A005""","=""""","=""""","RACE, TAPERED ROLLER BEARING, INNER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       60,  0.62, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,01, 1.90,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇeÉtÉ^ÉiÉV,  10.940
56,"=""90366-28A006""","=""""","=""""","RACE, TAPERED ROLLER BEARING, OUTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       80,  0.62, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,01, 1.90,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇeÉtÉ^ÉiÉV,  11.980
57,"=""90366-28A007""","=""""","=""""","RACE, TAPERED ROLLER BEARING, INNER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       72,  0.57, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      8,119","=""20.0""","      7,422","=""18.0""","      8,736","=""21.0""","     10,438","=""21.0""",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,"      8,119","      7,422","      8,736","     10,438",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,1,01, 1.90,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇeÉtÉ^ÉiÉV,  10.492
58,"=""90366-28A008""","=""""","=""""","RACE, TAPERED ROLLER BEARING, OUTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",      100,  0.58, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      8,119","=""20.0""","      7,422","=""18.0""","      8,736","=""21.0""","     10,438","=""21.0""",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,"      8,119","      7,422","      8,736","     10,438",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,1,01, 1.78,Ç`ÇvÇPÇRÇPÉtÉ^ÉiÉV,   4.740
59,"=""90366-30A017""","=""""","=""""","RACE, TAPERED ROLLER BEARING, OUTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       72,  0.60, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","     15,010","=""20.0""","     13,585","=""18.0""","     16,124","=""21.0""","     16,384","=""21.0""",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,"     15,010","     13,585","     16,124","     16,384",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
60,"=""90366-30A018""","=""""","="" A""","RACE, TAPERED ROLLER BEARING, INNER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       38,  0.34, 3.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","     15,010","=""20.0""","     13,585","=""18.0""","     16,124","=""21.0""","     16,384","=""21.0""",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,"     15,010","     13,585","     16,124","     16,384",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
61,"=""90366-52A003""","=""""","=""""","RACE, TAPERED ROLLER BEARING, INNER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       60,  0.57, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      8,119","=""20.0""","      7,422","=""18.0""","      8,736","=""21.0""","     10,438","=""21.0""",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,"      8,119","      7,422","      8,736","     10,438",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
62,"=""90366-52A004""","=""""","=""""","RACE, TAPERED ROLLER BEARING, OUTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       63,  0.57, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      8,119","=""20.0""","      7,422","=""18.0""","      8,736","=""21.0""","     10,438","=""21.0""",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,"      8,119","      7,422","      8,736","     10,438",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
63,"=""90366-58A001""","=""""","=""""","RACE, TAPERED ROLLER BEARING, INNER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       45,  0.57, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,04, 4.00,ª›ŒﬁØ∏ΩÅî24AÃ¿±ÿ,  14.510
64,"=""90366-58A002""","=""""","=""""","RACE, TAPERED ROLLER BEARING, OUTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       36,  0.59, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
65,"=""90366-59A009""","=""""","=""""","RACE, TAPERED ROLLER BEARING, INNER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       36,  0.59, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","     15,010","=""20.0""","     13,585","=""18.0""","     16,124","=""21.0""","     16,384","=""21.0""",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,"     15,010","     13,585","     16,124","     16,384",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
66,"=""90366-59A010""","=""""","=""""","RACE, TAPERED ROLLER BEARING, OUTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1814""","=""ÅiäîÅjÉWÉFÉCÉeÉNÉg""","=""02""","=""çÅêÏçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""PT- 9 æ›÷≥""",       36,  0.59, 1.0,1,"=""01""",  1.90,"=""""","=""""","=""""","=""""","     15,010","=""20.0""","     13,585","=""18.0""","     16,124","=""21.0""","     16,384","=""21.0""",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,"     15,010","     13,585","     16,124","     16,384",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
67,"=""35352-ECB010""","=""""","=""""","ROTOR, TRANSMISSION OIL PUMP DRIVEN","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""1821""","=""å‹ãªè§éñÅiäîÅj""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""",      504,  0.64, 1.0,1,"=""01""",  1.97,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
68,"=""G9201-ECB030""","=""""","=""""","COVER SUB-ASSY, INVERTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""2017""","=""ç≤ì°çHã∆ÅiäîÅj""","=""03""","=""ì°ìhëï""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""ª›ŒﬁØ∏Ω#20B""",        8,  0.78, 2.0,1,"=""02""",  5.82,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
69,"=""G9201-ECE010""","=""""","=""""","COVER SUB-ASSY, INVERTER","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""2017""","=""ç≤ì°çHã∆ÅiäîÅj""","=""03""","=""ì°ìhëï""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""ª›ŒﬁØ∏Ω#20B""",        8,  0.86, 2.0,1,"=""02""",  5.82,"=""""","=""""","=""""","=""""","      8,119","=""20.0""","      7,422","=""18.0""","      8,736","=""21.0""","     10,438","=""21.0""",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,"      8,119","      7,422","      8,736","     10,438",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
